timestamp,rid,from_node,from_label,to_node,to_label,seconds
1784608703.047,1,8,W2,18,1-1,31.012
1784608719.551,1,18,1-1,8,W2,16.505
1784608740.333,1,8,W2,18,1-1,20.782
1784608745.881,1,18,1-1,19,1-2,5.548
1784608766.131,1,19,1-2,8,W2,20.249
1784608790.394,1,8,W2,19,1-2,24.263
1784608795.991,1,19,1-2,27,1-4,5.597
1784608801.492,1,27,1-4,26,1-3,5.501
1784608819.228,1,26,1-3,8,W2,17.736
1784608843.335,1,8,W2,26,1-3,24.107
1784608848.862,1,26,1-3,27,1-4,5.527
